id|nombre|tipocolegioId|createdAt|updatedAt
1|Matemáticas|2|2023-09-24|2023-09-24
2|Comunicación y Lenguaje|2|2023-09-24|2023-09-24
3|Inglés|2|2023-09-24|2023-09-24
4|Biología|2|2023-09-24|2023-09-24
5|Química|2|2023-09-24|2023-09-24
6|Física|2|2023-09-24|2023-09-24
7|Música|2|2023-09-24|2023-09-24
8|Religión|2|2023-09-24|2023-09-24
9|Educación Física|2|2023-09-24|2023-09-24
10|Artes Plásticas|2|2023-09-24|2023-09-24
11|Historia y Geografía|2|2023-09-24|2023-09-24
12|Filosofía|2|2023-09-24|2023-09-24
