id|nombre|regionId|provincixId|createdAt|updatedAt
1|Arica|1|1|2023-09-24|2023-09-24
2|Camarones|1|1|2023-09-24|2023-09-24
3|General Lagos|1|2|2023-09-24|2023-09-24
4|Putre|1|2|2023-09-24|2023-09-24
5|Camiña|2|3|2023-09-24|2023-09-24
6|Colchane|2|3|2023-09-24|2023-09-24
7|Huara|2|3|2023-09-24|2023-09-24
8|Pica|2|3|2023-09-24|2023-09-24
9|Pozo Almonte|2|3|2023-09-24|2023-09-24
10|Alto Hospicio|2|4|2023-09-24|2023-09-24
11|Iquique|2|4|2023-09-24|2023-09-24
12|Antofagasta|3|5|2023-09-24|2023-09-24
13|Mejillones|3|5|2023-09-24|2023-09-24
14|Sierra Gorda|3|5|2023-09-24|2023-09-24
15|Taltal|3|5|2023-09-24|2023-09-24
16|Calama|3|6|2023-09-24|2023-09-24
17|Ollagüe|3|6|2023-09-24|2023-09-24
18|San Pedro de Atacama|3|6|2023-09-24|2023-09-24
19|María Elena|3|7|2023-09-24|2023-09-24
20|Tocopilla|3|7|2023-09-24|2023-09-24
21|Chañaral|4|8|2023-09-24|2023-09-24
22|Diego de Almagro|4|8|2023-09-24|2023-09-24
23|Caldera|4|9|2023-09-24|2023-09-24
24|Copiapó|4|9|2023-09-24|2023-09-24
25|Tierra Amarilla|4|9|2023-09-24|2023-09-24
26|Alto del Carmen|4|10|2023-09-24|2023-09-24
27|Freirina|4|10|2023-09-24|2023-09-24
28|Huasco|4|10|2023-09-24|2023-09-24
29|Vallenar|4|10|2023-09-24|2023-09-24
30|Illapel|5|11|2023-09-24|2023-09-24
31|Canela|5|11|2023-09-24|2023-09-24
32|Los Vilos|5|11|2023-09-24|2023-09-24
33|Salamanca|5|11|2023-09-24|2023-09-24
34|La Serena|5|12|2023-09-24|2023-09-24
35|Coquimbo|5|12|2023-09-24|2023-09-24
36|Andacollo|5|12|2023-09-24|2023-09-24
37|La Higuera|5|12|2023-09-24|2023-09-24
38|Paihuano|5|12|2023-09-24|2023-09-24
39|Vicuña|5|12|2023-09-24|2023-09-24
40|Ovalle|5|13|2023-09-24|2023-09-24
41|Combarbalá|5|13|2023-09-24|2023-09-24
42|Monte Patria|5|13|2023-09-24|2023-09-24
43|Punitaqui|5|13|2023-09-24|2023-09-24
44|Río Hurtado|5|13|2023-09-24|2023-09-24
45|Isla de Pascua|6|14|2023-09-24|2023-09-24
46|Los Andes|6|15|2023-09-24|2023-09-24
47|Calle Larga|6|15|2023-09-24|2023-09-24
48|Rinconada|6|15|2023-09-24|2023-09-24
49|San Esteban|6|15|2023-09-24|2023-09-24
50|Quillota|6|16|2023-09-24|2023-09-24
51|La Calera|6|16|2023-09-24|2023-09-24
52|Hijuelas|6|16|2023-09-24|2023-09-24
53|La Cruz|6|16|2023-09-24|2023-09-24
54|Nogales|6|16|2023-09-24|2023-09-24
55|Valparaíso|6|17|2023-09-24|2023-09-24
56|Casablanca|6|17|2023-09-24|2023-09-24
57|Concón|6|17|2023-09-24|2023-09-24
58|Juan Fernández|6|17|2023-09-24|2023-09-24
59|Puchuncaví|6|17|2023-09-24|2023-09-24
60|Quintero|6|17|2023-09-24|2023-09-24
61|Viña del Mar|6|17|2023-09-24|2023-09-24
62|La Ligua|6|18|2023-09-24|2023-09-24
63|Cabildo|6|18|2023-09-24|2023-09-24
64|Papudo|6|18|2023-09-24|2023-09-24
65|Petorca|6|18|2023-09-24|2023-09-24
66|Zapallar|6|18|2023-09-24|2023-09-24
67|San Antonio|6|19|2023-09-24|2023-09-24
68|Algarrobo|6|19|2023-09-24|2023-09-24
69|Cartagena|6|19|2023-09-24|2023-09-24
70|El Quisco|6|19|2023-09-24|2023-09-24
71|El Tabo|6|19|2023-09-24|2023-09-24
72|Santo Domingo|6|19|2023-09-24|2023-09-24
73|San Felipe|6|20|2023-09-24|2023-09-24
74|Catemu|6|20|2023-09-24|2023-09-24
75|Llaillay|6|20|2023-09-24|2023-09-24
