nombre|larga|createdAt|updatedAt
Arica y Parinacota|Región de Arica y Parinacota|2023-09-24|2023-09-24
Tarapacá|Región de Tarapacá|2023-09-24|2023-09-24
Antofagasta|Región de Antofagasta|2023-09-24|2023-09-24
Atacama|Región de Atacama|2023-09-24|2023-09-24
Coquimbo|Región de Coquimbo|2023-09-24|2023-09-24
Valparaíso|Región de Valparaíso|2023-09-24|2023-09-24
Metropolitana|Región Metropolitana de Santiago|2023-09-24|2023-09-24
O’Higgins|Región del Libertador Bernardo O'Higgins|2023-09-24|2023-09-24
Maule|Región del Maule|2023-09-24|2023-09-24
Ñuble|Región de Ñuble|2023-09-24|2023-09-24
Biobío|Región del Biobío|2023-09-24|2023-09-24
La Araucanía|Región de la Araucanía|2023-09-24|2023-09-24
Los Ríos|Región de los Ríos|2023-09-24|2023-09-24
Los Lagos|Región de los Lagos|2023-09-24|2023-09-24
Aysén|Región de Aysén|2023-09-24|2023-09-24
Magallanes|Región de Magallanes y Antártica Chilena|2023-09-24|2023-09-24
