id|numero|horario|colegioId|createdAt|updatedAt
1|1|"08:00 a 08:45"|1|2023-11-02|2023-11-02
2|2|"09:00 a 09:45"|1|2023-11-02|2023-11-02
3|3|10:00 a  10:45|1|2023-11-02|2023-11-02
4|4|11:00 a  11:45|1|2023-11-02|2023-11-02
5|5|12:00 a  12:45|1|2023-11-02|2023-11-02
6|6|13:00 a  13:45|1|2023-11-02|2023-11-02
7|7|14:00 a  14:45|1|2023-11-02|2023-11-02
8|8|15:00 a  15:45|1|2023-11-02|2023-11-02
9|9|16:00 a  16:45|1|2023-11-02|2023-11-02
10|10|17:00 a  17:45|1|2023-11-02|2023-11-02
11|11|18:00 a  18:45|1|2023-11-02|2023-11-02
12|12|19:00 a  19:45|1|2023-11-02|2023-11-02
