id|numero|nombre|abreviatura|createdAt|updatedAt
1|1|Enero|Ene|2023-09-24|2023-09-24
2|2|Febrero|Feb|2023-09-24|2023-09-24
3|3|Marzo|Mar|2023-09-24|2023-09-24
4|4|Abril|Abr|2023-09-24|2023-09-24
5|5|Mayo|May|2023-09-24|2023-09-24
6|6|Junio|Jun|2023-09-24|2023-09-24
7|7|Julio|Jul|2023-09-24|2023-09-24
8|8|Agosto|Ago|2023-09-24|2023-09-24
9|9|Septiembre|Sept|2023-09-24|2023-09-24
10|10|Octubre|Oct|2023-09-24|2023-09-24
11|11|Noviembre|Nov|2023-09-24|2023-09-24
12|12|Diciembre|Dic|2023-09-24|2023-09-24
