id|nombre|regionId|createdAt|updatedAt
1|Arica|1|2023-09-24|2023-09-24
2|Parinacota|1|2023-09-24|2023-09-24
3|El Tamarugal|2|2023-09-24|2023-09-24
4|Iquique|2|2023-09-24|2023-09-24
5|Antofagasta|3|2023-09-24|2023-09-24
6|El Loa|3|2023-09-24|2023-09-24
7|Tocopilla|3|2023-09-24|2023-09-24
8|Chañaral|4|2023-09-24|2023-09-24
9|Copiapó|4|2023-09-24|2023-09-24
10|Huasco|4|2023-09-24|2023-09-24
11|Choapa|5|2023-09-24|2023-09-24
12|Elqui|5|2023-09-24|2023-09-24
13|Limarí|5|2023-09-24|2023-09-24
14|Isla de Pascua|6|2023-09-24|2023-09-24
15|Los Andes|6|2023-09-24|2023-09-24
16|Quillota|6|2023-09-24|2023-09-24
17|Valparaíso|6|2023-09-24|2023-09-24
18|Petorca|6|2023-09-24|2023-09-24
19|San Antonio|6|2023-09-24|2023-09-24
20|San Felipe de Aconcagua|6|2023-09-24|2023-09-24
21|Marga Marga|6|2023-09-24|2023-09-24
22|Talagante|7|2023-09-24|2023-09-24
23|Santiago|7|2023-09-24|2023-09-24
24|Chacabuco|7|2023-09-24|2023-09-24
25|Cordillera|7|2023-09-24|2023-09-24
26|Maipo|7|2023-09-24|2023-09-24
27|Melipilla|7|2023-09-24|2023-09-24
28|Cachapoal|8|2023-09-24|2023-09-24
29|Cardenal Caro|8|2023-09-24|2023-09-24
30|Colchagua|8|2023-09-24|2023-09-24
31|Linares|9|2023-09-24|2023-09-24
32|Curicó|9|2023-09-24|2023-09-24
33|Cauquenes|9|2023-09-24|2023-09-24
34|Talca|9|2023-09-24|2023-09-24
35|Itata|10|2023-09-24|2023-09-24
36|Punilla|10|2023-09-24|2023-09-24
37|Diguillín|10|2023-09-24|2023-09-24
38|Concepción|11|2023-09-24|2023-09-24
39|Arauco|11|2023-09-24|2023-09-24
40|Bio-Bío|11|2023-09-24|2023-09-24
41|Malleco|12|2023-09-24|2023-09-24
42|Cautín|12|2023-09-24|2023-09-24
43|Valdivia|13|2023-09-24|2023-09-24
44|Ranco|13|2023-09-24|2023-09-24
45|Chiloé|14|2023-09-24|2023-09-24
46|Osorno|14|2023-09-24|2023-09-24
47|Llanquihue|14|2023-09-24|2023-09-24
48|Palena|14|2023-09-24|2023-09-24
49|Aysén|15|2023-09-24|2023-09-24
50|Coyhaique|15|2023-09-24|2023-09-24
51|Capitán Prat|15|2023-09-24|2023-09-24
52|General Carrera|15|2023-09-24|2023-09-24
53|Tierra del Fuego|16|2023-09-24|2023-09-24
54|Magallanes|16|2023-09-24|2023-09-24
55|Última Esperanza|16|2023-09-24|2023-09-24
56|Antártica Chilena|16|2023-09-24|2023-09-24
