id|nombre|larga|createdAt|updatedAt
1|Arica y Parinacota|Región de Arica y Parinacota|2023-09-24|2023-09-24
2|Tarapacá|Región de Tarapacá|2023-09-24|2023-09-24
3|Antofagasta|Región de Antofagasta|2023-09-24|2023-09-24
4|Atacama|Región de Atacama|2023-09-24|2023-09-24
5|Coquimbo|Región de Coquimbo|2023-09-24|2023-09-24
6|Valparaíso|Región de Valparaíso|2023-09-24|2023-09-24
7|Metropolitana|Región Metropolitana de Santiago|2023-09-24|2023-09-24
8|O’Higgins|Región del Libertador Bernardo O'Higgins|2023-09-24|2023-09-24
9|Maule|Región del Maule|2023-09-24|2023-09-24
10|Ñuble|Región de Ñuble|2023-09-24|2023-09-24
11|Biobío|Región del Biobío|2023-09-24|2023-09-24
12|La Araucanía|Región de la Araucanía|2023-09-24|2023-09-24
13|Los Ríos|Región de los Ríos|2023-09-24|2023-09-24
14|Los Lagos|Región de los Lagos|2023-09-24|2023-09-24
15|Aysén|Región de Aysén|2023-09-24|2023-09-24
16|Magallanes|Región de Magallanes y Antártica Chilena|2023-09-24|2023-09-24
